INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,Cost,Version,IC,IC_Type,Monitor,Confine,Point_Prot,Full_Suppression,Threatened,Damaged,Destroyed,T1-C,T2-C,T2IA-C,T1-H,T2-H,T3-H,T1-E,T2-E,T3-E,T4-E,T5-E,T6-E,DOZR,WTDR,Personnel,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr,,
BEE,AZ-A3S,001597,353,Human,"Mar 6, 2017 3:19:00 PM","Mar 10, 2017 2:41:45 PM",31.8586,-109.5178,Tall Grass (2.5 feet),"12,500",,,4,0,0,0,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,2,84,AZ,A3S,001597,AZS,5,SEZ,TDC,,
RANCH,AZ-A3S,001727,2466,Human,"Mar 11, 2017 3:33:00 PM","Mar 13, 2017 5:14:19 PM",31.6431,-110.4542,Tall Grass (2.5 feet),"10,000",,,4,0,0,0,100,5,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,2,78,AZ,A3S,001727,AZS,5,SEZ,TDC,,
Fisher,AZ-ASF,000101,100,Unknown,"Apr 3, 2017 6:15:00 PM","Apr 10, 2017 6:17:39 PM",34.4711,-110.8322,Timber (Grass and Understory),"7,500",,,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,AZ,ASF,000101,USFS,7,WMZ,SDC,,
RANGE,AZ-FHQ,000188,799,Unknown,"Apr 12, 2017 6:35:00 PM","Apr 15, 2017 8:37:09 PM",31.6678,-110.2361,Tall Grass (2.5 feet),"35,000",,,4,0,0,0,100,0,0,0,1,1,0,0,0,0,0,0,2,0,0,8,0,1,76,AZ,FHQ,000188,OTH,9,SEZ,TDC,,
SAWMILL,AZ-A3S,002926,46991,Human,"Apr 23, 2017 12:57:00 PM","May 4, 2017 7:11:33 PM",31.7823,-110.8419,Tall Grass (2.5 feet),"8,200,000",,Day,1 (IMT),0,0,0,100,415,0,0,5,7,4,1,1,3,2,0,19,0,0,46,0,7,774,AZ,A3S,002926,AZS,5,SEZ,TDC,,
Cactus,AZ-TNF,000312,818,Human,"Apr 25, 2017 7:56:00 PM","May 1, 2017 5:55:22 PM",33.5239,-111.6664,Chaparral (6 feet),"300,000",,Q.Johnson,3 (IMT),0,0,0,100,105,0,0,2,0,0,0,0,1,0,0,3,0,0,3,0,0,83,AZ,TNF,000312,USFS,7,CWZ,PHC,,
MULBERRY,AZ-A3S,003361,1755,Unknown,"May 6, 2017 3:56:00 PM","May 9, 2017 7:54:29 PM",31.8967,-110.6214,Brush (2 feet),"780,000",,Howell,3 (IMT),0,0,0,100,20,0,4,2,5,1,0,1,1,1,0,6,0,0,15,0,10,320,AZ,A3S,003361,AZS,5,SEZ,TDC,,
Pinal,AZ-TNF,000452,7193,Lightning/Natural,"May 8, 2017 5:12:00 PM","Aug 11, 2017 8:42:15 AM",33.2814,-110.8064,Chaparral (6 feet),"8,729,175",,Day,1 (IMT),0,20,0,80,23,0,0,6,5,1,2,3,11,0,0,8,0,0,15,4,6,614,AZ,TNF,000452,USFS,7,CWZ,PHC,,
Dove,AZ-SCA,000455,14000,Lightning/Natural,"May 9, 2017 12:20:00 PM","Jun 23, 2017 12:36:49 PM",33.5164,-109.9575,Hardwood Litter,"250,000",,,4,30,70,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,0,79,AZ,SCA,000455,BIA,1,CWZ,PHC,,
PENA,AZ-CNF,000311,250,Unknown,"May 15, 2017 4:45:00 PM","May 18, 2017 8:52:31 PM",31.3453,-111.0636,Tall Grass (2.5 feet),"1,125,000",,,3,0,0,0,100,0,0,0,3,0,1,0,0,0,0,0,2,0,0,5,0,0,342,AZ,CNF,000311,USFS,7,SEZ,TDC,,
MIRADOR,AZ-A3S,003639,250,Unknown,"May 16, 2017 5:52:00 PM","May 19, 2017 8:42:46 PM",31.5055,-111.5916,Brush (2 feet),"90,000",,,3,0,0,0,100,10,0,0,2,2,1,0,1,0,0,0,5,0,0,1,0,3,172,AZ,A3S,003639,AZS,5,SEZ,TDC,,
Snake Ridge,AZ-COF,000366,15333,Lightning/Natural,"May 19, 2017 5:02:00 PM","Jul 13, 2017 4:24:03 PM",34.6022,-111.4572,Timber (Grass and Understory),"1,000,000",,,3,25,25,25,25,1,0,0,2,1,0,0,0,1,0,0,2,0,,0,1,2,112,AZ,COF,000366,USFS,7,NAZ,FDC,,
DAVIS,AZ-A3S,004126,546,Lightning/Natural,"May 30, 2017 6:00:00 PM","May 31, 2017 8:26:30 PM",31.6503,-109.9208,Tall Grass (2.5 feet),"13,500",,,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,A3S,004126,AZS,5,SEZ,TDC,,
Bear,AZ-COF,000555,2591,Lightning/Natural,"Jun 1, 2017 10:54:00 AM","Jun 16, 2017 10:45:43 PM",34.4464,-111.2303,Timber (Grass and Understory),"800,000",,,4,25,25,25,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,29,AZ,COF,000555,USFS,7,NAZ,FDC,,
KELLOGG,AZ-A3S,004214,780,Unknown,"Jun 1, 2017 2:20:00 PM","Jun 2, 2017 6:20:26 PM",31.6742,-110.6625,Tall Grass (2.5 feet),"425,000",,,4,0,0,0,100,21,2,0,0,3,1,2,0,0,0,0,6,0,0,8,0,1,145,AZ,A3S,004214,AZS,5,SEZ,TDC,,
Slim,AZ-ASF,000319,3241,Lightning/Natural,"Jun 1, 2017 2:51:00 PM","Jun 15, 2017 6:47:27 PM",34.4231,-110.8422,Timber (Litter and Understory),"3,000,000",,Johnson,3 (IMT),0,0,0,100,0,0,0,7,0,2,5,1,2,0,0,2,0,0,8,2,6,304,AZ,ASF,000319,USFS,7,WMZ,SDC,,
Boundary,AZ-COF,000565,17788,Lightning/Natural,"Jun 1, 2017 4:02:00 PM","Jul 3, 2017 5:31:24 PM",35.4319,-111.8314,Timber (Litter and Understory),"8,345,000",,Andrews,2,5,35,25,35,11,0,0,6,1,1,2,0,1,0,0,3,1,0,9,3,13,386,AZ,COF,000565,USFS,7,NAZ,FDC,,
Freeze 2,AZ-SCA,000676,2829,Lightning/Natural,"Jun 1, 2017 4:28:00 PM","Jul 13, 2017 1:08:43 PM",33.5686,-109.6261,Timber (Litter and Understory),"700,000",,Bales,2 (IMT),0,0,0,100,3,0,0,4,0,3,2,0,3,0,0,0,0,0,11,5,3,311,AZ,SCA,000676,BIA,1,CWZ,PHC,,
RUCKER,AZ-CNF,000456,1130,Lightning/Natural,"Jun 7, 2017 1:56:00 PM","Jun 22, 2017 6:03:41 PM",31.7703,-109.3228,Brush (2 feet),"750,000",,Howell,3 (IMT),0,0,0,100,1,0,0,2,2,4,0,1,0,0,0,0,0,0,5,0,1,208,AZ,CNF,000456,USFS,7,SEZ,TDC,,
SMITH,AZ-GID,000460,1796,Unknown,"Jun 7, 2017 3:37:00 PM","Jun 8, 2017 8:58:03 PM",31.7231,-110.5461,Tall Grass (2.5 feet),"100,000",,,3,0,0,0,100,2,0,0,0,1,1,0,0,0,0,0,3,0,1,5,0,1,64,AZ,GID,000460,BLM,2,SEZ,TDC,,
LIZARD,AZ-CNF,000464,15230,Unknown,"Jun 7, 2017 4:43:00 PM","Jun 22, 2017 5:29:51 PM",32.0092,-110.0067,Short Grass (1 foot),0,,Pierson,1 (IMT),0,0,0,100,108,0,0,5,0,7,4,2,4,1,0,14,7,0,16,3,21,607,AZ,CNF,000464,USFS,7,SEZ,TDC,,
FRYE,AZ-CNF,000467,48443,Lightning/Natural,"Jun 7, 2017 5:09:00 PM","Sep 16, 2017 2:23:25 PM",32.7353,-109.8717,Timber (Grass and Understory),"20,000,000",,Poncin,1 (IMT),15,0,40,45,101,1,0,7,1,13,3,1,3,0,0,9,0,0,27,2,2,831,AZ,CNF,000467,USFS,7,SEZ,TDC,,
BOWIE,AZ-A3S,004464,3015,Unknown,"Jun 7, 2017 6:35:00 PM","Jun 13, 2017 4:17:49 PM",32.1552,-109.4275,Brush (2 feet),"1,502,000",,Sinclair,2 (IMT),0,0,0,100,48,0,0,4,4,2,0,1,1,0,1,0,1,0,8,1,2,282,AZ,A3S,004464,AZS,5,SEZ,TDC,,
SANER,AZ-CNF,000471,354,Lightning/Natural,"Jun 7, 2017 7:07:00 PM","Jun 11, 2017 9:52:26 PM",31.6411,-109.3372,Brush (2 feet),"90,000",,,4,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,30,AZ,CNF,000471,USFS,7,SEZ,TDC,,
PAIGE CREEK,AZ-CNF,000472,1064,Lightning/Natural,"Jun 7, 2017 7:15:00 PM","Jun 12, 2017 8:31:45 PM",32.1422,-110.4603,Brush (2 feet),"900,000",,,3,0,0,0,100,4,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,56,AZ,CNF,000472,USFS,7,SEZ,TDC,,
Highline,AZ-TNF,000780,7198,Unknown,"Jun 10, 2017 5:18:00 PM","Jul 20, 2017 8:04:13 PM",34.3972,-111.2006,Timber (Litter and Understory),"14,110,000",,Day,1 (IMT),0,0,0,100,1250,0,0,11,6,12,4,2,5,1,0,27,1,0,40,5,24,"1,205",AZ,TNF,000780,USFS,7,CWZ,PHC,,
TEE,AZ-A4S,004630,659,Unknown,"Jun 10, 2017 9:05:00 PM","Jun 13, 2017 5:49:38 PM",34.0142,-112.1028,Tall Grass (2.5 feet),"276,000",,,3,0,0,0,100,1,0,0,1,2,0,1,0,2,0,0,0,1,0,0,0,1,82,AZ,A4S,004630,AZS,5,CWZ,ADC,,
Windyhill,AZ-TNF,000796,420,Human,"Jun 11, 2017 4:32:00 PM","Jun 23, 2017 11:52:42 AM",33.6743,-111.0783,Brush (2 feet),"100,000",,,3,0,0,0,100,53,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,49,AZ,TNF,000796,USFS,7,CWZ,PHC,,
FLYING R,AZ-CNF,000517,2270,Human,"Jun 14, 2017 1:57:00 PM","Jun 16, 2017 8:20:05 PM",31.4328,-110.6954,Short Grass (1 foot),"200,000",,,3,0,0,0,100,0,0,0,1,0,1,0,0,0,0,0,2,0,0,13,0,0,120,AZ,CNF,000517,USFS,7,SEZ,TDC,,
R-14,AZ-FTA,000437,750,Unknown,"Jun 16, 2017 3:24:00 PM","Jul 13, 2017 6:00:09 PM",33.8492,-110.1650,Timber (Grass and Understory),"379,920",,,4,0,0,0,100,0,0,0,1,1,6,1,0,1,1,0,0,0,3,3,2,3,191,AZ,FTA,000437,BIA,1,WMZ,SDC,,
Maggie,AZ-PHD,000827,1400,Unknown,"Jun 18, 2017 5:06:00 PM","Jun 21, 2017 8:17:28 PM",34.1511,-112.1625,Tall Grass (2.5 feet),"660,000",,,3,0,0,0,100,6,0,0,2,0,1,0,1,1,1,0,2,2,0,2,0,1,109,AZ,PHD,000827,BLM,2,CWZ,PDC,,
ENCINO,AZ-A3S,004964,1289,Unknown,"Jun 20, 2017 8:47:00 PM","Jun 25, 2017 4:46:18 PM",31.6533,-110.6458,Tall Grass (2.5 feet),"160,000",,,3,0,0,0,100,75,1,5,3,3,0,1,1,1,0,0,13,3,0,23,0,5,289,AZ,A3S,004964,AZS,5,SEZ,TDC,,
#3 RAIN,AZ-KNF,000482,154,Human,"Jun 21, 2017 2:13:00 PM","Jun 23, 2017 4:53:31 PM",35.9075,-112.2261,Timber (Litter and Understory),"100,000",,Johnson,3 (IMT),0,0,0,100,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,1,0,80,AZ,KNF,000482,USFS,7,NAZ,WDC,,
BAR X,AZ-CNF,000563,2755,Unknown,"Jun 21, 2017 4:35:00 PM","Jun 26, 2017 8:37:22 PM",32.5125,-109.8414,Tall Grass (2.5 feet),"400,000",,Sinclair,2 (IMT),0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,CNF,000563,USFS,7,SEZ,TDC,,
303,AZ-A4S,005036,1676,Unknown,"Jun 22, 2017 2:58:00 PM","Jun 23, 2017 6:18:32 PM",33.7696,-112.1626,Short Grass (1 foot),"250,000",,,3,0,0,0,100,51,0,0,1,1,1,0,1,1,0,0,0,2,0,3,0,0,94,AZ,A4S,005036,AZS,5,CWZ,ADC,,
O RO RANCH,AZ-A5S,005051,207,Unknown,"Jun 23, 2017 8:51:00 AM","Jun 25, 2017 5:37:00 PM",34.8908,-113.0789,Timber (Grass and Understory),"15,000",,,3,0,0,0,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,34,AZ,A5S,005051,AZS,5,CWZ,ADC,,
SADDLE,AZ-CNF,000581,5128,Unknown,"Jun 24, 2017 5:10:00 PM","Jul 8, 2017 9:05:20 AM",31.5892,-109.4275,Short Grass (1 foot),"790,000",,,4,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,46,AZ,CNF,000581,USFS,7,SEZ,TDC,,
Goodwin,AZ-PNF,000904,28516,Unknown,"Jun 24, 2017 5:48:00 PM","Jul 10, 2017 6:10:08 PM",34.3575,-112.3731,Timber (Litter and Understory),"14,665,879",,Pierson,1 (IMT),0,0,0,100,1400,3,33,12,1,11,4,3,7,0,0,41,2,0,42,8,49,"1,163",AZ,PNF,000904,USFS,7,CWZ,PDC,,
Hilltop,AZ-SCA,000928,33826,Lightning/Natural,"Jun 25, 2017 2:09:00 PM","Aug 25, 2017 12:42:51 PM",33.6345,-110.3753,Timber (Litter and Understory),"9,500,000",,Bales,2 (IMT),0,0,0,100,0,0,0,7,2,16,2,1,4,0,0,4,0,0,18,8,10,853,AZ,SCA,000928,BIA,1,CWZ,PHC,,
