X,Y,OBJECTID,post_id,Name,description,cat1,cat2,cat3,addrln1,addrln2,city,state,zip,hours,phones,url,email,info1,info2,link,org_name,source,ext_id,use_type,dis_status,latitude,longitude,date_updated,POINT_X,POINT_Y
-118.593801455663154,34.487788066215536,133652791,81708,Sheriff - Pitchess Detention Center (EVSE),"Opened at 8/1/2014

Employee use only",Transportation,Alternative Fuel,Electricity Fueling Stations,29320 Wayside Rd,,Castaic,CA,91384,,,,,County Only,4 charging stations,http://egis3.lacounty.gov/lms/?p=81708,Los Angeles County - Sheriff ,,,publish,,34.4877881,-118.5938014,2017-01-30T13:29:11.000Z,6382738.05920689,2000424.33407289
-118.075815857282407,34.103047266957141,133652792,81710,Sheriff - Temple City Station (EVSE),"Opened at 8/1/2014

24 hours daily; keypad activated, instructions on EVSE",Transportation,Alternative Fuel,Electricity Fueling Stations,8838 Las Tunas Dr,,Temple City,CA,91780,24 hours daily,323-267-2023,,,County Only,2 charging stations,http://egis3.lacounty.gov/lms/?p=81710,Los Angeles County - Sheriff ,,,publish,,34.1030473,-118.0758158,2017-01-30T13:31:26.000Z,6538718.74822913,1859889.93600839
-118.230698056742654,34.058725666959973,133652793,81712,Sheriff - Twin Towers Detention Facility (EVSE),"Opened at 8/1/2014

Permitted employee parking only",Transportation,Alternative Fuel,Electricity Fueling Stations,450 E Bauchet,,Los Angeles,CA,90012,,,,,County Only,2 charging stations,http://egis3.lacounty.gov/lms/?p=81712,Los Angeles County - Sheriff ,,,publish,,34.0587257,-118.230698,2017-01-30T13:33:21.000Z,6491794.57797006,1843831.99207447
-118.383370956582468,34.084399466515684,133652794,81716,Sheriff - West Hollywood Station (EVSE),"Opened at 8/1/2014

24 hours daily; keypad activated, instructions on EVSE",Transportation,Alternative Fuel,Electricity Fueling Stations,780 San Vicente Blvd,,West Hollywood ,CA,90069,24 hours daily,323-267-2023,,,County Only,2 charging stations,http://egis3.lacounty.gov/lms/?p=81716,Los Angeles County - Sheriff ,,,publish,,34.0843995,-118.3833709,2017-01-30T13:37:16.000Z,6445587.53980689,1853316.35991673
-117.954105456826994,34.088898066700082,133652795,81718,Department of Public Works - Baldwin Park Construction Permit Office (EVSE),,Transportation,Alternative Fuel,Electricity Fueling Stations,14747 E Ramona Blvd,,Baldwin Park,CA,91706,,,,,Public ,,http://egis3.lacounty.gov/lms/?p=81718,Los Angeles County - Department of Public Works,,,publish,,34.0888981,-117.9541054,2017-01-30T13:39:00.000Z,6575566.26869406,1854735.2947429
-118.167863055879323,33.923722966873562,133652796,81720,Department of Public Works - Hollydale Construction Permit Office (EVSE),,Transportation,Alternative Fuel,Electricity Fueling Stations,11282 S Garfield Ave,,Downey,CA,90242,,,,,Public ,,http://egis3.lacounty.gov/lms/?p=81720,Los Angeles County - Department of Public Works ,,,publish,,33.923723,-118.167863,2017-01-30T13:41:01.000Z,6510744.5056213,1794664.03857331
-118.002451657132269,34.113165967002317,133652797,81722,Department of Public Works - Longden Flood Maintenance Yard (EVSE),,Transportation,Alternative Fuel,Electricity Fueling Stations,160 E Longden Ave,,Irwindale,CA,91706,,,,,Public ,,http://egis3.lacounty.gov/lms/?p=81722,Los Angeles County - Department of Public Works ,,,publish,,34.113166,-118.0024516,2017-01-30T13:43:00.000Z,6560928.24875756,1863563.67406772
-118.248932556268585,34.056606667214908,133652798,81726,Music Center Parking (EVSE),"Music Center Parking Lot 14, level 2

Opened at 1/31/2002

Garage business hours; pay lot; keypad activated, instructions on EVSE",Transportation,Alternative Fuel,Electricity Fueling Stations,135 N Grand Ave,,Los Angeles,CA,90012,Garage business hours,"213-972-7211
323-267-2023",,,Public ,3 charging stations,http://egis3.lacounty.gov/lms/?p=81726,Los Angeles County - Music Center ,,,publish,,34.0566067,-118.2489325,2017-01-30T13:46:54.000Z,6486269.66054222,1843074.02607073
-118.248932556268585,34.056606667214908,133652799,81728,Music Center Parking (EVSE),"Music Center Parking Lot 14, level 3

Opened at 8/1/2014

Garage business hours; pay lot; keypad activated, instructions on EVSE",Transportation,Alternative Fuel,Electricity Fueling Stations,135 N Grand Ave,,Los Angeles,CA,90012,Garage business hours,213-972-7211  323-267-2023,,,Public ,3 charging stations,http://egis3.lacounty.gov/lms/?p=81728,Los Angeles County - Music Center ,,,publish,,34.0566067,-118.2489325,2017-01-30T13:49:02.000Z,6486269.66054222,1843074.02607073
-118.288681855944859,34.017076866768782,133652800,81730,Natural History Museum (EVSE),"Lower level of parking structure

Opened at 1/2/2014",Transportation,Alternative Fuel,Electricity Fueling Stations,900 Exposition Blvd,,Los Angeles,CA,90007,Museum business hours,323-267-2023,,,County Only,4 charging stations,http://egis3.lacounty.gov/lms/?p=81730,Los Angeles County - Natural History Museum,,,publish,,34.0170769,-118.2886818,2017-01-30T13:50:46.000Z,6474188.47145006,1828720.60792723
