case_id,faa_ors,faa_asn,usgs_pr_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3035837,06-021437,2010-WTW-1179-OE,2170,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.22689,34.983597
3035851,06-021404,2010-WTW-1193-OE,2241,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.23849,35.003197
3044816,06-023334,2012-WTW-7632-OE,7039,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,missing,Digital Globe,-118.21609,35.032295
3035678,06-021467,2010-WTW-1115-OE,2172,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.22599,34.985893
3035583,06-022014,2010-WTW-10679-OE,2175,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.25239,34.988796
3048640,06-022165,2013-WTW-8585-OE,2181,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.24929,34.991394
3035684,06-021410,2010-WTW-1117-OE,2267,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.22459,35.006893
3044796,06-023309,2012-WTW-7609-OE,7021,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,missing,Digital Globe,-118.23399,35.023396
3035832,06-021465,2010-WTW-1174-OE,2180,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.22439,34.991196
3044817,06-023335,2012-WTW-7633-OE,7040,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,missing,Digital Globe,-118.21579,35.033497
3048522,06-021397,2013-WTW-8466-OE,2237,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.23959,35.002296
3044795,06-023308,2012-WTW-7608-OE,7020,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,missing,Digital Globe,-118.23499,35.022194
3048519,06-021415,2013-WTW-8463-OE,2229,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.23069,35.001194
3041451,06-023423,2011-WTW-882-OE,7107,CA,Kern County,6029,Alta VIII (partial),2011,43,129,Vestas,V90-3.0,3000,80,90,6361.73,125,3,3,1/1/2012,NAIP,-118.24229,34.998096
